SessionID,IS-session,Poster ID,Paper Title,著者リスト,CMT著者名,英文タイトル | English title,会議・論文誌名の入力 | Enter the name of the conference/journal
ES,IS-A-1_S01,EX-S1,GO株式会社,,,GO Inc.,
ES,IS-A-1_S02,EX-S2,グーグル合同会社,,,Google Japan,
ES,IS-A-1_S03,EX-S3,チームラボ株式会社,,,teamLab,
ES,IS-A-1_S04,EX-S4,株式会社ELEMENTS,,,"ELEMENTS, Inc.",
ES,IS-A-1_S05,EX-S5,ファーストアカウンティング株式会社,,,"Fast Accounting Co., Ltd.",
ES,IS-A-1_S06,EX-S6,エムスリー株式会社,,,"M3, Inc.",
ES,IS-A-1_S07,EX-S7,株式会社IMAGICA GROUP,,,IMAGICA GROUP Inc.,
ES,IS-A-1_S08,EX-S8,フューチャー株式会社,,,Future Corporation,
ES,IS-A-1_S09,EX-S9,八千代エンジニヤリング株式会社,,,"Yachiyo Engineering Co., Ltd.",
ES,IS-A-1_S10,EX-S10,アジア航測株式会社,,,"Asia Air Survey Co.,Ltd.",
ES,IS-A-1_S11,EX-S11,株式会社アダコテック,,,Adacotech Incorporated,
ES,IS-A-1_S12,EX-S12,株式会社エクサウィザーズ,,,ExaWizards Inc.,
ES,IS-A-1_S13,EX-S13,データ・タング株式会社,,,Datatang Inc.,
ES,IS-A-1_S14,EX-S14,株式会社ジーデップ・アドバンス,,,"GDEP ADVANCE,Inc",
DS,IS-A-2,DS-01,YOLOv8を用いた乳児気管挿管時のリアルタイム声門認識システムの開発,"中村大輝 (高清会高井病院), 増江達彦, 福田光希, 浅野尊比古 (岐阜県総合医療センター), Kim Wonjik, 野里博和 (産総研)",Hiroki Nakamura (Koseikai Takai Hospital)*; Tatsuhiko Masue (Gifu Prefectural General Medical Center); Kouki Fukuda (Gifu Prefectural General Medical Center); Takahiko Asano (Gifu Prefectural General Medical Center); Wonjik Kim (National Institute of Advanced Industrial Science and Technology); Hirokazu Nosato (National Institute of Advanced Industrial Science and Technology (AIST)),The development of real-time airway recognition system for infant intubation with YOLOv8,
DS,IS-A-2,DS-02,車載システム向けカメラでの脈拍推定技術の開発,"村地遼平, 髙橋龍平, 大萩優哉, 中村雄大, 小島太一 (三菱電機), 國廣和樹 (三菱電機モビリティ)",,,
DS,IS-A-2,DS-03,オプトインカメラ: UWBデバイスを用いた位置推定に基づく映像中の人物同定とオプトインシステムへの応用,"石毛真修, 吉村康弘, 河野陽日, 岩見彰太, 米谷竜 (サイバーエージェント)","Matthew Ishige (CyberAgent, Inc. )*; Yasuhiro Yoshimura (CyberAgent,Inc.); Haruhi Kono (CyberAgent,Inc.); Shota Iwami (CyberAgent,Inc.); Ryo Yonetani (CyberAgent)",Opt-In Camera: Person Identification in Video via UWB Device Positioning and Its Application to Opt-In Systems for Camera,
DS,IS-A-2,DS-04,照明スペクトルの最適化で物体色の見え方を制御する照明システムの提案,"山口真理子, 土田勝, 松元崇裕, 徳永徹郎, 望月崇由 (NTT)",Mariko Yamaguchi (NTT corporation); Masaru Tsuchida (NTT Corporation); Takahiro Matsumto (NIPPON TELEGRAPH AND TELEPHONE CORPORATION)*; Tetsuro Tokunaga (NTT Corporation); Takayoshi Mochizuki (NTT Corporation),Controlling the Color Appearance of Objects by Optimizing the Illumination Spectrum,
DS,IS-A-2,DS-05,イベントカメラによる人物姿勢推定の遅延補償を用いたリアルタイムエフェクトシステムの構築,"大武一平, 北野和哉 (奈良先端大), 櫛田貴弘 (立命館大), 藤村友貴 (奈良先端大), 前島謙宣 (オー・エル・エム・デジタル, IMAGICAGROUP), 久保尋之 (千葉大), 舩冨卓哉, 向川康博 (奈良先端大)",,,
DS,IS-A-2,DS-06,電荷領域符号化露光ToF CMOSイメージセンサと深層学習モデルによるトランジェントイメージングと距離推定システム,"林大輔  (静岡大), 吉田道隆 (日本学術振興会), De Xing Lioe, 安富啓太, 川人祥二  (静岡大), 長原一 (阪大), 香川景一郎 (静岡大)",,,
DS,IS-A-2,DS-07,初期視覚神経系の時空間応答特性を模擬した運動方向検出イメージセンサシステム,"久保秀太朗, 山地勇樹, 奥野弘嗣 (阪工大)",Shutaro Kubo (Osaka Institute of Technology)*; Yuki Yamaji (Osaka Institute of Technology); Hirotsugu Okuno (Osaka Institute of Technology),An image sensor system inspired by the spatiotemporal characteristics of visual neurons that detects motion direction,
DS,IS-A-2,DS-08,映像ｘLLMを活用したドライバーの運転評価,"藤若雅也, 船田純一, 劉健全, 住吉泰明, 江頭公平 (NEC)",,,
DS,IS-A-2,DS-09,Realtime Smart Gait Poser：スマートシューズを用いた歩行姿勢のリアルタイム推定,"出口裕之, 堀涼介 (慶大), 多田充徳 (産総研), 斎藤英雄 (慶大)",,,
DS,IS-A-2,DS-10,動的背景下におけるイベントカメラを用いた三次元人物手指形状推定,"原涼成, 池田航, 五十川麻理子 (慶大)",,,
DS,IS-A-2,DS-11,WaveFontStyler: 音に基づくフォントスタイル変換,"泉幸太, 柳井啓司 (電通大)","Kota Izumi (The University of Electro-Communications)*; Keiji Yanai (The University of Electro-Communications, Tokyo)",WaveFontStyler:Sound-based font style transfer,
DS,IS-A-2,DS-12,大規模画像言語モデルを活用したCoarse-to-Fine型セマンティックシーン検索,"立花卓遠, 坂口翼, 大西正輝 (産総研), 櫻田健 (京大)",Takuo Tachibana (The University of Tokyo)*; Ken Sakurada (Kyoto University); Masaki Onishi (AIST),Coarse-to-Fine Semantic Scene Search Utilizing Large-scale Vision-and-language Model,
DS,IS-A-2,DS-13,画像分類と画像匿名化を両立させた深層学習ベースの診断支援システムの構築,"岩井亮斗 (東邦大, 産総研), 野里博和 (産総研), 中島悠 (東邦大)",,,
DS,IS-A-2,DS-14,Sparse·Recurrent·Parallel ·Local Attention for SpatioTemporal Event Processing,"Yusuke Sekikawa, Jun Nagata (DENSO IT Laboratory)",Yusuke Sekikawa (DENSO IT Laboratory)*; Jun Nagata (Keio University),,
DS,IS-A-2,DS-15,屈折型リサージュ光学系を用いたリサージュサンプリングによるライトフィールド計測,"日垣輝大, 北野和哉 (奈良先端大), 櫛田貴弘 (立命館大), 藤村友貴, 舩冨卓哉, 向川康博 (奈良先端大)",Akihiro Higaki (Nara Institute of Science and Technology)*; Kazuya Kitano (Nara Institute of Science and Technology); Takahiro Kushida (Ritsumeikan University); Yuki Fujimura (Nara Institute of Science and Technology); Takuya Funatomi (Nara Institute of Science and Technology); Yasuhiro Mukaigawa (NAIST),Lissajous Sampling for Light Field Measurement using Refractive Lissajous Optics,
ES,IS-B-1_P01,EX-P1,株式会社サイバーエージェント,,,"CyberAgent, Inc.",
ES,IS-B-1_P02,EX-P2,株式会社日立製作所,,,"Hitachi, Ltd.",
ES,IS-B-1_P03,EX-P3,HPCテック,,,HPCTECH,
ES,IS-B-1_P04,EX-P4,華為技術日本株式会社,,,Huawei Technologies Japan K.K.,
ES,IS-B-2_G01,EX-G1,株式会社デンソーアイティ―ラボラトリ,,,DENSO IT Laboratory,
ES,IS-B-2_G02,EX-G2,株式会社センスタイムジャパン,,,Sense Time Japan Ltd.,
ES,IS-B-2_G03,EX-G3,LINEヤフー株式会社,,,LY Corporation,
ES,IS-B-2_G04,EX-G4,オムロン株式会社,,,OMRON Corporation,
ES,IS-B-2_G05,EX-G5,キャディ株式会社,,,CADDi Inc.,
ES,IS-B-2_G06,EX-G6,株式会社ZOZO NEXT,,,"ZOZO NEXT, Inc.",
ES,IS-B-2_G07,EX-G7,株式会社BuySell Technologies,,,"BuySell Technologies Co., Ltd.",
ES,IS-B-2_G08,EX-G8,株式会社ネットコンパス,,,NetCOMPASS Ltd.,
ES,IS-B-2_G09,EX-G9,日本電信電話株式会社（NTT R&D）,,,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,
ES,IS-B-2_G10,EX-G10,株式会社メルカリ,,,"Mercari, inc.",
ES,IS-B-2_G11,EX-G11,Turing株式会社,,,Turing Inc.,
ES,IS-B-2_G12,EX-G12,日産自動車株式会社,,,"Nissan Motor Co., Ltd.",
ES,IS-B-2_G13,EX-G13,株式会社東芝,,,Toshiba corporation,
ES,IS-B-2_G14,EX-G14,SB Intuitions株式会社,,,SB Intuitions Corp.,
ES,IS-B-2_G15,EX-G15,ダイキン工業株式会社,,,"DAIKIN INDUSTRIES, LTD.",
